3,10,20000,3360900,5,2400,19990
3,10,100000,25033200,5,11280,99990
3,10,500000,257073300,5,7080,499990
3,10,1000000,776271200,5,880,999990
3,10,5000000,5210293200,5,2480,4999990
3,100,20000,2973000,5,560,19900
3,100,100000,23628300,5,840,99900
3,100,500000,236520400,5,700,499900
3,100,1000000,641058500,5,640,999900
3,100,5000000,4848093800,5,2440,4999900
3,1000,20000,2648400,5,780,19000
3,1000,100000,18269600,5,560,99000
3,1000,500000,225506900,5,660,499000
3,1000,1000000,689850400,5,800,999000
3,1000,5000000,4822221800,5,800,4999000
3,10000,20000,1448800,5,180,11376
3,10000,100000,12108700,5,620,90000
3,10000,500000,288221100,5,1660,490000
3,10000,1000000,568170200,5,1160,990000
3,10000,5000000,3549656100,5,1240,4990000
3,100000,20000,1186200,5,200,1930
3,100000,100000,6849700,5,240,36640
3,100000,500000,95174600,5,780,400672
3,100000,1000000,314695100,5,780,900004
3,100000,5000000,2372132300,5,1220,4900000
